,License,criticalCount,seriousCount,minorCount,Facility_Type,pass_flag,fail_flag,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ageAtInspection,consumption_on_premises_incidental_activity,tobacco_retail_over_counter,package_goods,limited_business_license,outdoor_patio,public_place_of_amusement,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,heat_burglary,heat_garbage,heat_sanitation,Inspector_Assigned,precipIntensity,temperatureMax,windSpeed,humidity,criticalFound,last_check
84,1928,0,1,1,Restaurant,0,1,0,0,0,1,13,0,6.67123287671233,0,0,0,0,0,0,0,0,0,0,0,0,14.2815937292851,0.12885728405116,6.36623791486337,yellow,0.0007033333333333,85.0566666666667,7.15333333333333,0.683333333333333,0,0
85,1928,0,0,2,Restaurant,1,0,1,0,1,1,5,0,7.0986301369863,0,0,0,0,0,0,0,0,0,0,0,0,10.6204213330707,2.11490569390338,7.7028812902827,yellow,0.0006,35.9033333333333,9.1,0.736666666666667,0,0
86,1929,0,1,1,Restaurant,0,0,0,0,0,2,13,0,6.67123287671233,0,0,0,0,0,0,0,0,0,0,0,0,14.2815937292851,0.12885728405116,6.36623791486337,purple,0.0007033333333333,85.0566666666667,7.15333333333333,0.683333333333333,0,0
87,1932,0,0,5,Other,1,0,1,0,1,5,7,0,5.47671232876712,0,0,0,0,0,0,0,0,0,0,0,0,10.076765310379,8.82876587188628,15.0079360018649,blue,0.01153,64.6733333333333,9.97,0.816666666666667,0,0
88,1932,0,0,1,Restaurant,1,0,0,0,0,5,0,0,5.53972602739726,1,0,0,0,1,0,0,0,0,0,0,0,23.4049804367081,0.0121222497976986,8.21265787508804,orange,0.00018,89.1366666666667,13.43,0.426666666666667,0,0
89,1932,0,0,3,Other,1,0,0,0,0,1,11,0,6.46575342465753,0,0,0,0,0,0,0,0,0,0,0,0,5.8454838122236,6.63700897464607,13.1195581936542,orange,0.00105,75.9266666666667,15.0133333333333,0.586666666666667,0,0
90,1932,0,1,1,Restaurant,0,1,0,0,0,3,2,0,6.67397260273973,0,0,0,0,0,0,0,0,0,0,0,0,14.2847751936935,0.128226173448744,6.32766756361527,purple,0.0007033333333333,87.35,6.46666666666667,0.67,0,0
91,1932,0,0,4,Other,1,0,1,0,1,1,1,0,6.82465753424658,0,0,0,0,0,0,0,0,0,0,0,0,13.9852886165635,5.90899970267375,4.35268492144645,blue,0.0,89.5433333333333,11.6766666666667,0.63,0,0
92,1932,0,0,2,Restaurant,1,0,0,0,0,4,3,0,7.07123287671233,0,0,0,0,0,0,0,0,0,0,0,0,8.66917031553835,1.95965348219403,9.03186768421186,yellow,0.0012333333333333,23.5833333333333,9.63666666666667,0.683333333333333,0,0
93,1937,0,1,2,Restaurant,0,0,0,0,0,3,13,0,6.67397260273973,0,0,0,0,0,0,0,0,0,0,0,0,14.2847751936935,0.128226173448744,6.32766756361527,purple,0.0007033333333333,87.35,6.46666666666667,0.67,0,0
94,1937,0,0,2,Restaurant,1,0,0,0,1,2,4,0,7.07123287671233,0,0,0,0,0,0,0,0,0,0,0,0,8.66917031553835,1.95965348219403,9.03186768421186,yellow,0.0012333333333333,23.5833333333333,9.63666666666667,0.683333333333333,0,0
95,1955,0,0,5,Restaurant,1,0,0,0,0,3,9,0,7.77808219178082,0,0,0,0,0,0,0,0,0,0,0,0,14.8013499404715,4.5069441455996,4.36573117177877,green,0.0003666666666666,32.92,11.37,0.613333333333333,0,0
96,1955,1,0,2,Restaurant,0,0,0,0,0,5,9,0,8.57260273972603,1,0,1,0,1,0,0,0,0,0,0,0,5.87577797902147,2.38758419247465,10.1819868150542,green,0.0100666666666667,77.9466666666667,8.37333333333333,0.693333333333333,1,0
97,1984,0,0,2,Restaurant,1,0,0,0,0,6,4,0,6.9972602739726,1,0,0,0,0,0,0,0,0,0,0,0,30.5607460170154,21.5521829461026,28.2974796333521,green,0.0019,43.4933333333333,16.72,0.72,0,0
